,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_epsi,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq,wind_cf_eq
Weather_years_2022,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Weather_years_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.3714471115606593,0.32391007941213057,0.2840414758169036,0.45687750849903164,0.4009186019741494,0.3878877652910558,0.2819647743518241,0.16346949853334466,0.34133379931956076,0.32702543300530157,0.3308404979002848,0.24186194335632277,0.3348547421985161,0.3069196156104467,0.2837434602009111,0.4138014319130441,0.20432252458558864,0.4897479226634514,0.4193676264923762,0.24007548580764942,0.22083951750361125,0.24967456815291847,0.3753781061018261,0.27603916557694236,0.3337978341112855,0.36640192224916174,0.3230963975352216,0.2341184242541095,0.3532731320117253,0.3353338965411545,0.3787168615680826,0.3314746557219577,0.29116338735031566,0.4622951619260752,0.4102106773763958,0.3972869465305707,0.28502048532104257,0.16906778881376647,0.3484655943533304,0.3353565893178196,0.3407089571731284,0.2447994528594455,0.34482662324489677,0.3138977627924278,0.29043518616989655,0.42275983996285726,0.20979801088476607,0.4966801293011327,0.4299022276146258,0.2465013928681696,0.2272084670997394,0.2518376881518461,0.37763176762774714,0.2791857746256611,0.3312873745319568,0.3697966361574535,0.3262005737066412,0.23734312866835572,0.3555730051474082,0.3386026758170088
2,0.4404492173683233,0.23730391305350962,0.2961844596381564,0.20396713002255157,0.21458417430637242,0.41136340408216654,0.2793585078314651,0.41427001665198115,0.34594259785779974,0.332793243524881,0.37407787723373087,0.27535849524666306,0.4545626676424337,0.16942930878356255,0.3062193853239471,0.26770190646403097,0.2254636641490071,0.2843144648379678,0.29392751363782577,0.24439549666207194,0.25799373276859355,0.30734422350913476,0.2854561542637405,0.21954118004637688,0.3412723492259679,0.24601381162953925,0.3418984907962194,0.3119556953951637,0.2173578122351352,0.2764972053158966,0.44791991792412694,0.24525647777422724,0.30736634576048394,0.21149275636811632,0.2194742459980153,0.4220616416237113,0.2869755747086465,0.4258196496121121,0.3622023411171969,0.3421333771039481,0.38492822886067707,0.2805357615118911,0.4655700143099043,0.17400351485693638,0.3167249687215938,0.2760384735448027,0.22947848612340607,0.2891608936231567,0.3039951898125468,0.2514568572650389,0.26369769178426977,0.30895427486547267,0.2917397531729703,0.22084581980091333,0.34097672478333213,0.2475126775680175,0.34596356013750645,0.31375844524490415,0.21744289258367183,0.28102034112460916
3,0.34747740319142584,0.2032496210058577,0.3261289104081485,0.24565584597791723,0.4005227189168291,0.3899257374277259,0.23025929102379888,0.24312799842826524,0.3125227311448773,0.21171293727058685,0.31786511799872663,0.24695438718469556,0.2505051281807295,0.1896640012248715,0.2621557885190081,0.26167351257958293,0.24962326632434734,0.31127239169813703,0.3567194825055598,0.25616288242305485,0.2737073543054979,0.20827474598490534,0.2255621705181502,0.2561946796537723,0.2289608144017817,0.2832936703963218,0.20702632255274453,0.2551798162460211,0.2576273634093658,0.363894182088467,0.3622795706763973,0.207573610478137,0.33373173255236094,0.2555818528011694,0.41216481634989766,0.4027551383473469,0.2331268790617959,0.2495223687602312,0.3201640282629144,0.21588477944024265,0.3272831299006393,0.2517703486145052,0.2579880633844235,0.19441982074051886,0.26951825774692745,0.2682215324380662,0.2566144322821249,0.3199079932818218,0.3635313471955091,0.261224850336746,0.280368969458635,0.20850649789736259,0.22680652132502385,0.2566193688080667,0.23043777550388328,0.2848987536699656,0.2080380239372312,0.25781870729950157,0.2582263720897625,0.369849247359059
4,0.22716406634783898,0.19114276548990503,0.21927045584885982,0.22236605655165112,0.2194471547319841,0.26727375624496963,0.13175294279387562,0.256643882454644,0.1965362080326249,0.2096237379366251,0.17790787899496752,0.20960220394205575,0.19785961437242866,0.2530000547248209,0.1829411610293427,0.1848228717717361,0.196161832418361,0.19547541409560112,0.16622993590077279,0.16562923088490925,0.19495744144110472,0.2227972703437297,0.20726741172508206,0.19651754375427397,0.19977204665046275,0.19486745692867397,0.19735639072454328,0.22689037550570407,0.2204703086702358,0.20595205838737968,0.2337936849712405,0.19687540100162032,0.2266657751587633,0.22585194463733171,0.2270223181144702,0.27529221509074286,0.13570783174023332,0.26413736413691197,0.20208084442570354,0.21672652748749713,0.1799799652263662,0.21582432451082725,0.2019816573120689,0.2613332498579793,0.18660527813596237,0.1894810919265825,0.2032221705952971,0.20182675601221362,0.17099944936592149,0.17006122569541832,0.20144094372288157,0.22765372714818216,0.2081613694018506,0.19839785371610827,0.20032864055947097,0.19718020138688352,0.19914763799797322,0.2316375571210336,0.22244391003124162,0.20957547946456817
5,0.1180697268275582,0.17170928693988918,0.22780601734496955,0.17329622063325528,0.16609969140109448,0.15500026199884753,0.18072908703455323,0.18032482948654296,0.17270191166156657,0.18142373919674554,0.16780348045555335,0.18570949783066246,0.15458930916393607,0.1674635923861111,0.15602651385280694,0.1676431595502369,0.26772493246909734,0.1927286988370825,0.13558158340564314,0.20193314676374588,0.17270981253067505,0.19964521007334546,0.18492746248669498,0.16972655630221758,0.19458718992264168,0.20771059809665265,0.2037501313761682,0.15848588002743388,0.17554689191649808,0.18491510526907023,0.12015107819891237,0.1790065644791795,0.2381018196844558,0.17887478874024001,0.1733035867637428,0.15889646675204191,0.18857050731394903,0.18663010520199227,0.17852088269610566,0.18870121514699512,0.173791590894718,0.19340857906690942,0.1604903467637671,0.1753551376755804,0.16142474036858215,0.17117668007202694,0.2767444129418128,0.19863941035905466,0.13944305845907154,0.2117696644769975,0.17678434210884456,0.2045604514647998,0.18768334155330277,0.17220187240215507,0.1988638758398493,0.21516358592457266,0.20469306100413656,0.16075471814537007,0.17547699546569187,0.18774892155801043
6,0.13421084361203395,0.2227198102516941,0.15088978999461206,0.16439723279271437,0.21344477620440208,0.14977889837600755,0.14879242786445507,0.18084956057748477,0.16659456782741125,0.14026011641704583,0.18996202186412314,0.1589174318130956,0.19026438762258024,0.14753564788181572,0.1906039484625662,0.14902191617848123,0.11371361744858646,0.15569676487324974,0.1619099451906448,0.19582676524253106,0.12481312363493827,0.1754773183414019,0.19146653176775855,0.2029332059090349,0.13476214056804364,0.16369720000231355,0.11685755840984798,0.20037915847462792,0.148480095959751,0.15343433844587737,0.13937664370970546,0.2332612332928315,0.156603045809459,0.17139499655995163,0.22534775765215034,0.1558101332376777,0.1540158835967454,0.18651839358684327,0.17459930235457602,0.1451819552088316,0.1972358338321593,0.16333789876520802,0.20043823252216986,0.15462137301866327,0.20201326399487607,0.153136037873121,0.1161751028039657,0.16283974238392984,0.16945920860674887,0.20648942741128679,0.1270398711610501,0.17799159023038993,0.1954440198504644,0.2061775956478487,0.13468777986081934,0.16645250436654266,0.11619272515754578,0.2059139590083052,0.1494513317082896,0.15386353670141914
7,0.2130042880406288,0.16780249015588306,0.14151952786989597,0.21323799876281432,0.09217229250886091,0.12447315519334891,0.17994838644231528,0.12395268813185692,0.22953314302644104,0.15343384473125915,0.16732884704619228,0.15034503547490227,0.18632623924270836,0.13841612245752938,0.1560247270077497,0.15320418132076957,0.08952771876763836,0.22668422310108208,0.18078925850364944,0.17584312068743332,0.11477837976037589,0.21910126171497601,0.1705542530722863,0.10482311245761247,0.13293235956162103,0.2142321519905045,0.15186066759200842,0.15148605444934538,0.10550482613933007,0.1518224334134342,0.22370947130197247,0.1759220781177552,0.1496277111718912,0.22613257649853255,0.09396960355093935,0.12956200690205905,0.18942567170845057,0.1294295133464955,0.24296775907774526,0.1620724284998709,0.17335772178902306,0.15626763680759073,0.19664622387156375,0.14336570503176735,0.16385614134460766,0.15963580290917662,0.08957096865927541,0.24032426172912622,0.1890459034208401,0.18554661418947183,0.11559188862690464,0.22420837897660428,0.17593528583674048,0.10433335231319338,0.13581674401307847,0.221941940598792,0.15583778651291316,0.15458827301359762,0.10328681255494533,0.15325321266249692
8,0.14516307716763788,0.14738438391283157,0.206057163627602,0.16958490039286048,0.16982928912888204,0.14211771192725103,0.1523623620162725,0.09905222724208475,0.19697051830519424,0.15661315876617787,0.10073883675008964,0.16853326672778682,0.09794027141013893,0.13866587172872263,0.18920986271303442,0.16518105928738983,0.16937566729513379,0.16117684715538358,0.20659827628439392,0.14652902333675616,0.16860779754210206,0.18600650161873092,0.14297968167721284,0.13771197633545462,0.17471243527476704,0.1425256938631517,0.15194030060245095,0.1494389973896131,0.14482465301944736,0.13206877519263158,0.15163598784311041,0.1563191608617552,0.21858186449900938,0.17926401959338462,0.18003939516922907,0.14713199158150259,0.15992728028651498,0.10318845403936364,0.20886081870374582,0.16364671794367228,0.10531989265003366,0.17832926520955153,0.101811406493386,0.14458966629031858,0.1986595642767341,0.1746595952808501,0.17790093660059897,0.16933897651361715,0.22015056427322444,0.15463957739342665,0.17727647889666057,0.19272789328489867,0.14697831308199913,0.14155090960478517,0.18253839544348846,0.1448446515380905,0.1583224828344599,0.1548782367225225,0.14759672519856987,0.13781864318023346
9,0.23853472734803963,0.18367772152540765,0.21219366891661315,0.18666215965499336,0.23112841245964044,0.235951938259724,0.21284954367062955,0.16969777661506072,0.19420464146566419,0.17736096447380306,0.18974356749772758,0.23317331884682788,0.14164959296746008,0.13962782227691736,0.25790097387935357,0.1390208884196495,0.19229143058245451,0.25147665808421305,0.18003587367731666,0.20050028719408045,0.20975093977644685,0.20501052451738713,0.20971712606596607,0.1941785248234902,0.15149825881636886,0.2085288410929125,0.1400679566597215,0.1796948001187039,0.19288704129588374,0.2120402392053066,0.2526131098361399,0.19445726359851695,0.22578439071708098,0.1964172441099003,0.24526540083196313,0.24976548507314295,0.22366042737639996,0.1817447218506822,0.20372376451469174,0.18802358404975175,0.19829965798758278,0.24313699255124976,0.1487224515684829,0.14667787691134954,0.27444824314817234,0.14788998521621485,0.20696623062761327,0.26661163492473067,0.19119905683065974,0.2156519472178676,0.224836672946285,0.21632406766058365,0.2176132261952072,0.20110129407989455,0.15765397919694574,0.21558517701654156,0.14803225754007862,0.1861404405789054,0.2006845588597136,0.22196355274072177
10,0.2864257944991264,0.24774539981045662,0.24210631056409063,0.220317629577375,0.2466992127935695,0.17931782389139286,0.21553084389505872,0.26388857613120315,0.4068180754490374,0.3047717632668832,0.2640492630168325,0.2665997582893787,0.29024693036165355,0.2239154743925082,0.25892413929934055,0.23470377747225837,0.2585513130017348,0.14332964496938747,0.2531147400379405,0.24608735829511386,0.26257716102871126,0.2715360361653995,0.24031935786558214,0.29038501258089616,0.20683086753738694,0.15058404214749843,0.18078041039137804,0.3316304771698682,0.2495983796630682,0.2550714645451405,0.30200468780728273,0.26037425046493207,0.2553610645939217,0.23163898523582513,0.25825158493100614,0.19045815070576844,0.22707253839343655,0.2787356549640183,0.4281295567457911,0.32333634320298016,0.2777806654204158,0.2846917787559661,0.3005094939519363,0.2346361662818059,0.2733248296835493,0.24984819711047487,0.27601267292009224,0.15127769793304122,0.26924060862848537,0.2587721751573791,0.2747583672064421,0.28277988353130956,0.2475811066579929,0.3031267613297246,0.21415603221425883,0.15401165514194012,0.18631496232453212,0.34726659312346647,0.2573473134345174,0.2670182136187092
11,0.23968426002921328,0.3048707982571702,0.38447701535275924,0.18576309313586126,0.27103775612217246,0.25038454197327026,0.3205013194020846,0.239270509238929,0.19398738837582516,0.24202723872346124,0.3186905507141144,0.25917190223032566,0.2060365259259951,0.2606508961300653,0.252012827853955,0.23350633940333926,0.3619282980269255,0.31070206161302966,0.30004907437192146,0.3420092418209751,0.2536526370912378,0.20029571424567172,0.24964115199752268,0.25465123159766667,0.21603908864931576,0.35669513692105703,0.25099220994398935,0.27482876247603566,0.24130765182022315,0.2324130442617021,0.25298798375105086,0.3219593803554446,0.40314120286129906,0.1970747931245754,0.28724720053930025,0.2647066307218489,0.3386767550805481,0.24770153449823928,0.2052932602475937,0.2555094588299587,0.3316037348648945,0.2739015862190635,0.21386548561115454,0.273973804896212,0.2670938562401771,0.24701572797028443,0.38166622346644613,0.32664416102321003,0.31783073359566666,0.36057182935887927,0.26721780036635523,0.20935041129574283,0.2588408960953098,0.2642236019384195,0.22034677539421516,0.3768694908423488,0.2606900408561025,0.2866766570282506,0.25012503808391656,0.2380596929705423
12,0.3052445883029334,0.30174921797542015,0.23970567346556187,0.42589789932897726,0.3639524375429838,0.197118116012573,0.20116318877010508,0.3215580315822065,0.3322355717966615,0.41660568071197207,0.30406511986737905,0.272481018861635,0.26735322564068403,0.32129415977658493,0.2567689027647574,0.29452114985158634,0.32973915549741395,0.2877030657912475,0.22367995529701173,0.2473160618468839,0.25141605317960897,0.4483835144727776,0.3243359297986036,0.35978691420599085,0.3634765124384007,0.38539776441141127,0.2721233053981278,0.36364947042864,0.33023075317069195,0.32799030780795746,0.32407394548287854,0.32098377805451667,0.25431549332690434,0.44555656496762513,0.38651706268109226,0.20828711913347878,0.21263484944191444,0.33947001369731056,0.35079321604221714,0.43712151143905775,0.3197953596758489,0.2892979855840934,0.27985392293592903,0.34028913760412743,0.2741914492127395,0.31088155025237935,0.3502134307980248,0.30286406930763965,0.2348822378826385,0.2586693419129987,0.26989587418812805,0.46760402891809355,0.33697224808902404,0.3748595496703621,0.38168909327512474,0.40621647469499106,0.2867153807853846,0.3809015153511587,0.34493693717540547,0.34108589160836295
